,Name,Team,Age,Pos,GP,G,A,P,PIM,+/-,TOI,ES,PP,SH,ESG,PPG,SHG,GWG,OTG,ESA,PPA,SHA,GWA,OTA,ESP,PPP,SHP,GWP,OTP,PPP%,G/60,A/60,P/60,ESG/60,ESA/60,ESP/60,PPG/60,PPA/60,PPP/60,G/GP,A/GP,P/GP,SHOTS,SH%,HITS,BS,FOW,FOL,FO%
Jacob Christiansen,Canada,CBJ,22,D,8,1,0,1,0,1,9:46,9:36,0:02,0:07,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.0%,0.768,0.000,0.768,0.781,0.000,0.781,0.000,0.000,0.000,0.125,0.000,0.125,4,25.0%,9,6,0,0,0.00%
Riley Tufte,United-States,DAL,23,F,10,1,0,1,4,0,7:11,7:06,0:05,0:00,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.0%,0.834,0.000,0.834,0.843,0.000,0.843,0.000,0.000,0.000,0.100,0.000,0.100,5,20.0%,9,4,1,1,50.00%
Jordan Harris,United-States,MTL,21,D,10,1,0,1,8,3,16:16,15:34,0:27,0:15,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.0%,0.369,0.000,0.369,0.385,0.000,0.385,0.000,0.000,0.000,0.100,0.000,0.100,9,11.1%,10,11,0,0,0.00%
Jackson Cates,United-States,PHI,24,F,11,1,0,1,0,-2,9:04,8:33,0:01,0:29,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.0%,0.601,0.000,0.601,0.637,0.000,0.637,0.000,0.000,0.000,0.091,0.000,0.091,8,12.5%,4,3,20,13,60.61%
Alec Regula,United-States,CHI,21,D,15,1,0,1,12,-1,17:52,15:51,0:50,1:11,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.0%,0.224,0.000,0.224,0.252,0.000,0.252,0.000,0.000,0.000,0.067,0.000,0.067,18,5.6%,21,21,0,0,0.00%
Markus Nutivaara,Finland,FLA,27,D,1,0,1,1,0,0,7:01,7:01,0:00,0:00,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0.0%,0.000,8.551,8.551,0.000,8.551,8.551,0.000,0.000,0.000,0.000,1.000,1.000,0,0.00%,1,0,0,0,0.00%
Kyle Criscuolo,United-States,DET,29,F,6,0,2,2,2,1,9:33,9:33,0:00,0:00,0,0,0,0,0,2,0,0,1,0,2,0,0,1,0,0.0%,0.000,2.093,2.093,0.000,2.093,2.093,0.000,0.000,0.000,0.000,0.333,0.333,5,0.0%,6,1,4,9,30.77%
Sean Walker,Canada,LAK,27,D,6,0,2,2,4,-1,18:22,15:43,1:46,0:52,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,50.0%,0.000,1.089,1.089,0.000,0.636,0.636,0.000,5.660,5.660,0.000,0.333,0.333,18,0.0%,9,9,0,0,0.00%
Otto Koivula,Finland,NYI,23,F,8,0,2,2,0,-2,10:44,9:51,0:31,0:22,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0.0%,0.000,1.396,1.396,0.000,1.523,1.523,0.000,0.000,0.000,0.000,0.250,0.250,8,0.0%,8,4,22,30,42.31%
Austin Strand,Canada,LAK,24,D,8,0,2,2,0,-1,15:17,14:14,0:01,1:01,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0.0%,0.000,0.981,0.981,0.000,1.054,1.054,0.000,0.000,0.000,0.000,0.250,0.250,9,0.0%,7,5,0,0,0.00%
Alexander Holtz,Sweden,NJD,19,F,9,0,2,2,2,-5,12:16,10:02,2:14,0:00,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,50.0%,0.000,1.087,1.087,0.000,0.664,0.664,0.000,2.985,2.985,0.000,0.222,0.222,12,0.0%,5,2,0,0,0.00%
Zac Jones,United-States,NYR,21,D,12,0,2,2,0,-7,15:10,14:14,0:54,0:00,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0.0%,0.000,0.659,0.659,0.000,0.702,0.702,0.000,0.000,0.000,0.000,0.167,0.167,8,0.0%,4,13,0,0,0.00%
Nic Petan,Canada,VAN,26,F,18,0,2,2,4,-2,10:17,9:23,0:53,0:00,0,0,0,0,0,1,1,0,1,0,1,1,0,1,0,50.0%,0.000,0.647,0.647,0.000,0.355,0.355,0.000,3.734,3.734,0.000,0.111,0.111,21,0.0%,6,3,14,32,30.43%
Mike Hardman,United-States,CHI,22,F,21,0,2,2,11,-6,9:18,9:05,0:12,0:00,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0.0%,0.000,0.614,0.614,0.000,0.629,0.629,0.000,0.000,0.000,0.000,0.095,0.095,12,0.0%,60,12,1,1,50.00%
Lane Pederson,Canada,SJS,24,F,29,0,2,2,10,-16,10:31,9:51,0:35,0:04,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0.0%,0.000,0.393,0.393,0.000,0.420,0.420,0.000,0.000,0.000,0.000,0.069,0.069,24,0.0%,54,10,42,54,43.75%
Marc-Andre Fleury,Canada,MIN,37,G,56,0,2,2,2,,,,,,0,0,0,0,0,,,,,,,,,0,0,0.0%,,,,,,,,,,0.000,0.036,0.036,,,,,,,
Elvis Merzlikins,Latvia,CBJ,27,G,59,0,2,2,8,,,,,,0,0,0,0,0,,,,,,,,,0,0,0.0%,,,,,,,,,,0.000,0.034,0.034,,,,,,,
Thatcher Demko,United-States,VAN,26,G,64,0,2,2,2,,,,,,0,0,0,0,0,,,,,,,,,0,0,0.0%,,,,,,,,,,0.000,0.031,0.031,,,,,,,
Garrett Pilon,United-States,WSH,23,F,2,1,0,1,0,1,9:24,9:24,0:00,0:00,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.0%,3.189,0.000,3.189,3.189,0.000,3.189,0.000,0.000,0.000,0.500,0.000,0.500,1,100.0%,2,0,8,10,44.44%
Ethan Prow,United-States,BUF,29,D,4,1,0,1,0,-1,12:44,11:41,0:00,1:02,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.0%,1.178,0.000,1.178,1.283,0.000,1.283,0.000,0.000,0.000,0.250,0.000,0.250,2,50.0%,2,3,0,0,0.00%
Ben Meyers,United-States,COL,23,F,5,1,0,1,0,-2,9:56,9:44,0:12,0:00,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.0%,1.206,0.000,1.206,1.232,0.000,1.232,0.000,0.000,0.000,0.200,0.000,0.200,8,12.5%,1,1,11,13,45.83%
Andy Andreoff,Canada,NYI,30,F,6,1,0,1,0,-1,9:59,9:57,0:00,0:02,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.0%,1.001,0.000,1.001,1.005,0.000,1.005,0.000,0.000,0.000,0.167,0.000,0.167,6,16.7%,11,1,9,8,52.94%
Kasper Björkqvist,Finland,PIT,24,F,6,1,0,1,2,-1,8:22,7:20,0:00,1:01,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.0%,1.195,0.000,1.195,1.362,0.000,1.362,0.000,0.000,0.000,0.167,0.000,0.167,8,12.5%,9,2,0,0,0.00%
Hendrix Lapierre,Canada,WSH,19,F,6,1,0,1,2,2,9:35,8:38,0:57,0:00,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.0%,1.043,0.000,1.043,1.158,0.000,1.158,0.000,0.000,0.000,0.167,0.000,0.167,7,14.3%,1,2,6,17,26.09%
Jesper Frödén,Sweden,BOS,27,F,7,1,0,1,2,4,12:52,11:20,0:56,0:35,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.0%,0.666,0.000,0.666,0.756,0.000,0.756,0.000,0.000,0.000,0.143,0.000,0.143,10,10.0%,8,5,0,0,0.00%
Nick Abruzzese,United-States,TOR,22,F,9,1,0,1,2,-1,10:12,9:10,1:01,0:00,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0.0%,0.653,0.000,0.653,0.726,0.000,0.726,0.000,0.000,0.000,0.111,0.000,0.111,8,12.5%,7,3,2,5,28.57%
Gabriel Fortier,Canada,TBL,21,F,10,1,0,1,4,-2,9:16,9:16,0:00,0:00,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.0%,0.646,0.000,0.646,0.647,0.000,0.647,0.000,0.000,0.000,0.100,0.000,0.100,14,7.1%,24,5,1,0,100.00%
Nick Robertson,United-States,TOR,20,F,10,1,0,1,4,-4,10:16,9:47,0:28,0:00,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.0%,0.584,0.000,0.584,0.613,0.000,0.613,0.000,0.000,0.000,0.100,0.000,0.100,14,7.1%,10,2,0,0,0.00%
Beck Malenstyn,Canada,WSH,23,F,12,1,0,1,9,2,9:02,8:18,0:00,0:44,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.0%,0.553,0.000,0.553,0.602,0.000,0.602,0.000,0.000,0.000,0.083,0.000,0.083,10,10.0%,34,7,1,6,14.29%
Grant Hutton,United-States,NYI,26,D,16,1,0,1,4,-1,14:11,13:41,0:02,0:27,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.0%,0.264,0.000,0.264,0.274,0.000,0.274,0.000,0.000,0.000,0.063,0.000,0.063,22,4.6%,15,12,0,0,0.00%
Lucas Johansen,Canada,WSH,24,D,1,0,1,1,0,1,12:18,12:18,0:00,0:00,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0.0%,0.000,4.878,4.878,0.000,4.878,4.878,0.000,0.000,0.000,0.000,1.000,1.000,0,0.00%,0,0,0,0,0.00%
Reilly Walsh,United-States,NJD,22,D,1,0,1,1,0,0,14:23,13:24,0:59,0:00,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0.0%,0.000,4.171,4.171,0.000,4.478,4.478,0.000,0.000,0.000,0.000,1.000,1.000,2,0.0%,0,2,0,0,0.00%
Justus Annunen,Finland,COL,21,G,2,0,1,1,0,,,,,,0,0,0,0,0,,,,,,,,,0,0,0.0%,,,,,,,,,,0.000,0.500,0.500,,,,,,,
Gemel Smith,Canada,DET,27,F,3,0,1,1,5,-2,6:46,6:42,0:03,0:00,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0.0%,0.000,2.956,2.956,0.000,2.983,2.983,0.000,0.000,0.000,0.000,0.333,0.333,1,0.0%,0,1,6,4,60.00%
Fredrik Karlström,Sweden,DAL,23,F,3,0,1,1,0,2,6:12,6:01,0:10,0:00,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0.0%,0.000,3.226,3.226,0.000,3.321,3.321,0.000,0.000,0.000,0.000,0.333,0.333,1,0.0%,0,0,0,0,0.00%
Alexander Steeves,United-States,TOR,22,F,3,0,1,1,0,-1,7:58,7:58,0:00,0:00,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0.0%,0.000,2.509,2.509,0.000,2.509,2.509,0.000,0.000,0.000,0.000,0.333,0.333,2,0.0%,1,1,0,0,0.00%
Richard Panik,Slovakia,NYI,30,F,4,0,1,1,0,-2,14:55,11:33,3:21,0:00,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,100.0%,0.000,1.006,1.006,0.000,0.000,0.000,0.000,4.461,4.461,0.000,0.250,0.250,4,0.0%,9,2,1,1,50.00%
Danny O'Regan,United-States,ANA,27,F,5,0,1,1,0,-1,10:03,10:03,0:00,0:00,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0.0%,0.000,1.193,1.193,0.000,1.193,1.193,0.000,0.000,0.000,0.000,0.200,0.200,2,0.0%,3,4,11,17,39.29%
Dylan Sikura,Canada,COL,26,F,5,0,1,1,0,0,9:57,9:37,0:20,0:00,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0.0%,0.000,1.205,1.205,0.000,1.248,1.248,0.000,0.000,0.000,0.000,0.200,0.200,3,0.0%,0,3,0,0,0.00%
Jean-Francois Berube,Canada,CBJ,30,G,6,0,1,1,0,,,,,,0,0,0,0,0,,,,,,,,,0,0,0.0%,,,,,,,,,,0.000,0.167,0.167,,,,,,,
Aleksi Heponiemi,Finland,FLA,22,F,6,0,1,1,2,-6,14:01,13:34,0:07,0:20,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,100.0%,0.000,0.713,0.713,0.000,0.000,0.000,0.000,85.714,85.714,0.000,0.167,0.167,7,0.0%,0,1,2,4,33.33%
John Moore,United-States,BOS,31,D,7,0,1,1,4,2,17:34,14:41,0:15,2:37,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0.0%,0.000,0.488,0.488,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.143,0.143,7,0.0%,9,11,0,0,0.00%
Josh Archibald,United-States,EDM,29,F,8,0,1,1,7,-2,9:02,7:29,0:05,1:27,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0.0%,0.000,0.829,0.829,0.000,1.001,1.001,0.000,0.000,0.000,0.000,0.125,0.125,4,0.0%,27,2,2,2,50.00%
Ian Mitchell,Canada,CHI,22,D,8,0,1,1,0,-3,11:55,10:59,0:13,0:43,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,100.0%,0.000,0.629,0.629,0.000,0.000,0.000,0.000,34.615,34.615,0.000,0.125,0.125,2,0.0%,2,9,0,0,0.00%
Brett Connolly,Canada,CHI,29,F,9,0,1,1,15,-3,8:23,7:43,0:40,0:00,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0.0%,0.000,0.794,0.794,0.000,0.863,0.863,0.000,0.000,0.000,0.000,0.111,0.111,6,0.0%,7,3,0,0,0.00%
Clark Bishop,Canada,OTT,25,F,9,0,1,1,6,-3,8:20,8:05,0:00,0:15,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0.0%,0.000,0.799,0.799,0.000,0.825,0.825,0.000,0.000,0.000,0.000,0.111,0.111,8,0.0%,12,3,3,3,50.00%
Daniil Miromanov,Russia,VGK,24,F,11,0,1,1,2,0,9:47,9:31,0:00,0:15,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0.0%,0.000,0.558,0.558,0.000,0.572,0.572,0.000,0.000,0.000,0.000,0.091,0.091,15,0.0%,5,6,0,0,0.00%
Dmitri Jaskin,Czech-Republic,ARI,28,F,12,0,1,1,4,-6,14:47,13:23,1:23,0:00,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0.0%,0.000,0.338,0.338,0.000,0.373,0.373,0.000,0.000,0.000,0.000,0.083,0.083,23,0.0%,47,9,5,5,50.00%
Libor Hajek,Czech-Republic,NYR,23,D,17,0,1,1,8,-10,13:07,12:52,0:00,0:14,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0.0%,0.000,0.269,0.269,0.000,0.274,0.274,0.000,0.000,0.000,0.000,0.059,0.059,12,0.0%,7,26,0,0,0.00%
Ben Harpur,Canada,NSH,26,D,19,0,1,1,27,-10,13:44,12:22,0:00,1:22,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0.0%,0.000,0.230,0.230,0.000,0.255,0.255,0.000,0.000,0.000,0.000,0.053,0.053,13,0.0%,36,21,0,0,0.00%
Markus Niemeläinen,Finland,EDM,23,D,20,0,1,1,4,-5,13:11,11:46,0:00,1:25,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0.0%,0.000,0.227,0.227,0.000,0.255,0.255,0.000,0.000,0.000,0.000,0.050,0.050,12,0.0%,82,19,0,0,0.00%
Adin Hill,Canada,SJS,25,G,25,0,1,1,0,,,,,,0,0,0,0,0,,,,,,,,,0,0,0.0%,,,,,,,,,,0.000,0.040,0.040,,,,,,,
Anthony Stolarz,United-States,ANA,27,G,28,0,1,1,2,,,,,,0,0,0,0,0,,,,,,,,,0,0,0.0%,,,,,,,,,,0.000,0.036,0.036,,,,,,,
Thomas Greiss,Germany,DET,35,G,31,0,1,1,2,,,,,,0,0,0,0,0,,,,,,,,,0,0,0.0%,,,,,,,,,,0.000,0.032,0.032,,,,,,,
Kaapo Kähkönen,Finland,SJS,25,G,36,0,1,1,2,,,,,,0,0,0,0,0,,,,,,,,,0,0,0.0%,,,,,,,,,,0.000,0.028,0.028,,,,,,,
Cooper Marody,United-States,EDM,25,F,1,0,1,1,0,0,6:04,5:53,0:11,0:00,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0.0%,0.000,9.890,9.890,0.000,10.198,10.198,0.000,0.000,0.000,0.000,1.000,1.000,1,0.0%,0,0,0,0,0.00%
Valtteri Puustinen,Finland,PIT,22,F,1,0,1,1,0,2,10:14,9:08,1:06,0:00,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0.0%,0.000,5.863,5.863,0.000,6.569,6.569,0.000,0.000,0.000,0.000,1.000,1.000,1,0.0%,1,0,0,0,0.00%
Joel Hofer,Canada,STL,21,G,2,0,1,1,0,,,,,,0,0,0,0,0,,,,,,,,,0,0,0.0%,,,,,,,,,,0.000,0.500,0.500,,,,,,,
Jayden Halbgewachs,Canada,SJS,24,F,3,0,1,1,4,1,13:05,12:21,0:44,0:00,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0.0%,0.000,1.527,1.527,0.000,1.619,1.619,0.000,0.000,0.000,0.000,0.333,0.333,7,0.0%,3,0,0,0,0.00%
Adam Beckman,Canada,MIN,20,F,3,0,1,1,2,-1,10:24,9:37,0:46,0:01,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0.0%,0.000,1.921,1.921,0.000,2.079,2.079,0.000,0.000,0.000,0.000,0.333,0.333,4,0.0%,1,1,0,0,0.00%
Connor Mackey,United-States,CGY,25,D,3,0,1,1,2,-1,13:34,13:24,0:10,0:00,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0.0%,0.000,1.473,1.473,0.000,1.492,1.492,0.000,0.000,0.000,0.000,0.333,0.333,4,0.0%,4,1,0,0,0.00%
Juuso Riikola,Finland,PIT,28,D,5,0,1,1,2,2,13:23,11:40,1:43,0:00,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0.0%,0.000,0.896,0.896,0.000,1.029,1.029,0.000,0.000,0.000,0.000,0.200,0.200,7,0.0%,13,2,0,0,0.00%
Matthew Peca,Canada,STL,28,F,5,0,1,1,0,-1,9:38,9:29,0:00,0:08,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0.0%,0.000,1.246,1.246,0.000,1.264,1.264,0.000,0.000,0.000,0.000,0.200,0.200,3,0.0%,3,1,5,7,41.67%
Shane Pinto,United-States,OTT,21,F,5,0,1,1,2,0,12:57,11:10,1:03,0:43,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,100.0%,0.000,0.926,0.926,0.000,0.000,0.000,0.000,11.285,11.285,0.000,0.200,0.200,5,0.0%,0,1,17,35,32.69%
Jacob Larsson,Sweden,ANA,24,D,6,0,1,1,2,-3,15:16,15:05,0:00,0:10,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0.0%,0.000,0.655,0.655,0.000,0.663,0.663,0.000,0.000,0.000,0.000,0.167,0.167,5,0.0%,1,5,0,0,0.00%
Mattias Norlinder,Sweden,MTL,21,D,6,0,1,1,2,2,12:17,11:58,0:18,0:00,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0.0%,0.000,0.814,0.814,0.000,0.835,0.835,0.000,0.000,0.000,0.000,0.167,0.167,2,0.0%,4,3,0,0,0.00%
Scott Harrington,Canada,CBJ,28,D,7,0,1,1,6,-4,14:25,13:14,0:01,1:10,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0.0%,0.000,0.594,0.594,0.000,0.648,0.648,0.000,0.000,0.000,0.000,0.143,0.143,5,0.0%,8,9,0,0,0.00%
Cody Glass,Canada,NSH,22,F,8,0,1,1,0,0,11:24,9:31,1:53,0:00,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0.0%,0.000,0.657,0.657,0.000,0.788,0.788,0.000,0.000,0.000,0.000,0.125,0.125,9,0.0%,13,4,20,37,35.09%
Jacob Bernard-Docker,Canada,OTT,21,D,8,0,1,1,4,1,14:46,14:38,0:00,0:06,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0.0%,0.000,0.508,0.508,0.000,0.512,0.512,0.000,0.000,0.000,0.000,0.125,0.125,6,0.0%,4,3,0,0,0.00%
Petteri Lindbohm,Finland,FLA,28,D,9,0,1,1,5,0,14:03,13:44,0:00,0:18,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0.0%,0.000,0.474,0.474,0.000,0.485,0.485,0.000,0.000,0.000,0.000,0.111,0.111,9,0.0%,25,8,0,0,0.00%
Mathieu Olivier,Canada,NSH,24,F,10,0,1,1,14,-3,10:05,9:15,0:01,0:48,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0.0%,0.000,0.594,0.594,0.000,0.648,0.648,0.000,0.000,0.000,0.000,0.100,0.100,5,0.0%,23,4,0,1,0.00%
Lukas Reichel,Germany,CHI,19,F,11,0,1,1,0,-8,13:11,11:40,1:31,0:00,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0.0%,0.000,0.413,0.413,0.000,0.467,0.467,0.000,0.000,0.000,0.000,0.091,0.091,15,0.0%,0,3,16,30,34.78%
Josiah Slavin,United-States,CHI,23,F,15,0,1,1,4,0,12:01,10:58,0:01,1:02,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0.0%,0.000,0.333,0.333,0.000,0.365,0.365,0.000,0.000,0.000,0.000,0.067,0.067,13,0.0%,12,4,29,38,43.28%
Eric Comrie,Canada,WPG,26,G,19,0,1,1,0,,,,,,0,0,0,0,0,,,,,,,,,0,0,0.0%,,,,,,,,,,0.000,0.053,0.053,,,,,,,
Jon Gillies,United-States,NJD,27,G,20,0,1,1,0,,,,,,0,0,0,0,0,,,,,,,,,0,0,0.0%,,,,,,,,,,0.000,0.050,0.050,,,,,,,
Daniel Vladar,Czech-Republic,CGY,24,G,23,0,1,1,0,,,,,,0,0,0,0,0,,,,,,,,,0,0,0.0%,,,,,,,,,,0.000,0.043,0.043,,,,,,,
Mike Smith,Canada,EDM,39,G,28,0,1,1,6,,,,,,0,0,0,0,0,,,,,,,,,0,0,0.0%,,,,,,,,,,0.000,0.036,0.036,,,,,,,
Craig Anderson,United-States,BUF,40,G,31,0,1,1,0,,,,,,0,0,0,0,0,,,,,,,,,0,0,0.0%,,,,,,,,,,0.000,0.032,0.032,,,,,,,
Kevin Lankinen,Finland,CHI,26,G,32,0,1,1,0,,,,,,0,0,0,0,0,,,,,,,,,0,0,0.0%,,,,,,,,,,0.000,0.031,0.031,,,,,,,
Robin Lehner,Sweden,VGK,30,G,44,0,1,1,10,,,,,,0,0,0,0,0,,,,,,,,,0,0,0.0%,,,,,,,,,,0.000,0.023,0.023,,,,,,,
Jonathan Quick,United-States,LAK,35,G,46,0,1,1,6,,,,,,0,0,0,0,0,,,,,,,,,0,0,0.0%,,,,,,,,,,0.000,0.022,0.022,,,,,,,
Jack Campbell,United-States,TOR,29,G,49,0,1,1,0,,,,,,0,0,0,0,0,,,,,,,,,0,0,0.0%,,,,,,,,,,0.000,0.020,0.020,,,,,,,
Philipp Grubauer,Germany,SEA,30,G,55,0,1,1,0,,,,,,0,0,0,0,0,,,,,,,,,0,0,0.0%,,,,,,,,,,0.000,0.018,0.018,,,,,,,
Andrei Vasilevski,Russia,TBL,27,G,63,0,1,1,6,,,,,,0,0,0,0,0,,,,,,,,,0,0,0.0%,,,,,,,,,,0.000,0.016,0.016,,,,,,,
